player,total_runs,bat_avg,bat_sr,total_fours,total_sixes,centuries,fifties,seasons_batted,last_season_bat,total_wickets,bowl_avg,economy,bowl_sr,seasons_bowled,last_season_bowl,best_economy,avg_dots_per_spell,inn_wickets,max_sr_inn,avg_sr_inn,max_6s_inn,max_4s_inn,role,bat_impact,bowl_impact,overall_impact,powerplay_bowler,death_bowler,finisher,anchor,runs_3yr_avg,sr_3yr_avg,wkts_3yr_avg,econ_3yr_avg
Albie Morkel,974.0,28.225555555555555,141.59333333333333,61.0,55.0,0.0,3.0,9.0,2016.0,85.0,29.31222222222222,8.657777777777778,20.645555555555557,9.0,2016.0,3.0,10.933333333333334,18.0,475.0,259.9889285714286,5.0,8.0,allrounder,22.922529762899206,39.914756009018305,31.418642885958754,False,True,True,False,49.0,139.94000000000003,3.0,10.049999999999999
Alex Carey,32.0,16.0,110.34,0.0,1.0,0.0,0.0,1.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter,11.374463127347404,0.0,11.374463127347404,False,True,False,False,32.0,110.34,0.0,0.0
Alex Hales,148.0,24.66,125.42,13.0,6.0,0.0,0.0,1.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,226.43999999999997,3.0,3.0,batter,15.79614357788661,0.0,15.79614357788661,False,True,False,False,148.0,125.42,0.0,0.0
Alfonso Thomas,19.0,9.5,126.66,1.0,1.0,0.0,0.0,1.0,2012.0,14.0,31.665,7.745,24.5,2.0,2012.0,4.0,12.0,4.0,0.0,0.0,0.0,0.0,bowler,9.822248283683251,27.590183041002714,27.590183041002714,False,True,False,False,19.0,126.66,7.0,7.745
Ali Murtaza,5.0,5.0,125.0,1.0,0.0,0.0,0.0,1.0,2013.0,9.0,25.165,7.0825,21.0,4.0,2013.0,3.75,11.4,8.0,0.0,0.0,0.0,0.0,bowler,8.052832952948645,25.98879399289235,25.98879399289235,False,True,False,False,5.0,125.0,2.0,6.916666666666667
Alzarri Joseph,20.0,2.5,93.4,2.0,0.0,0.0,0.0,2.0,2022.0,13.0,26.105,9.415,17.185000000000002,2.0,2022.0,3.27,10.666666666666666,12.0,0.0,0.0,0.0,0.0,bowler,5.637464181788332,25.41128052275593,25.41128052275593,False,False,False,False,10.0,93.4,6.5,9.415
Aman Khan,5.0,5.0,166.66,1.0,0.0,0.0,0.0,1.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.66,166.66,0.0,1.0,batter,10.135832952948643,0.0,10.135832952948643,False,True,False,False,5.0,166.66,0.0,0.0
Ambati Rayudu,4190.0,28.993076923076924,127.39846153846153,349.0,164.0,1.0,22.0,13.0,2022.0,0.0,0.0,7.33,0.0,1.0,2011.0,0.0,0.0,0.0,425.0,206.145,8.0,9.0,allrounder,43.6960529580101,0.0,21.84802647900505,False,True,False,False,296.6666666666667,133.59666666666666,0.0,7.33
Amit Mishra,362.0,11.450000000000001,82.51083333333334,29.0,5.0,0.0,0.0,12.0,2019.0,166.0,25.30857142857143,7.426428571428572,20.112142857142857,14.0,2021.0,2.0,10.10909090909091,86.0,400.0,341.0,1.0,4.0,allrounder,9.717115042632372,63.65947304062058,36.68829404162648,False,True,False,False,23.666666666666668,77.24333333333334,6.666666666666667,7.243333333333333
Amit Paunikar,49.0,12.25,85.96,9.0,0.0,0.0,0.0,1.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter,8.853640915883599,0.0,8.853640915883599,False,True,False,False,49.0,85.96,0.0,0.0
Amit Singh,1.0,1.0,33.33,0.0,0.0,0.0,0.0,1.0,2009.0,28.0,21.810000000000002,7.466666666666666,16.786666666666665,3.0,2012.0,2.25,14.2,11.0,0.0,0.0,0.0,0.0,bowler,2.0270665905897287,30.172498949138294,30.172498949138294,False,True,False,False,1.0,33.33,9.333333333333334,7.466666666666666
Amit Uniyal,4.0,4.0,57.14,0.0,0.0,0.0,0.0,1.0,2010.0,2.0,33.0,11.0,18.0,1.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,4.299266362358916,0.38251366120218583,0.38251366120218583,False,False,False,False,4.0,57.14,2.0,11.0
