POS,player,matches,innings,overs,runs_conceded,wickets,best_bowling,bowl_avg,economy,bowl_sr,four_wickets,five_wickets,season,source
33,Sandeep Lamichhane,6,6,23.0,210.0,8.0,3/40,26.25,9.13,17.25,0,0,2019,most_wickets
34,Shardul Thakur,10,9,30.0,281.0,8.0,2/18,35.12,9.36,22.5,0,0,2019,most_wickets
35,Umesh Yadav,11,11,37.5,371.0,8.0,3/36,46.37,9.8,28.37,0,0,2019,most_wickets
36,Harry Gurney,8,8,27.0,238.0,7.0,2/25,34.0,8.81,23.14,0,0,2019,most_wickets
37,Mohammed Siraj,9,9,28.1,269.0,7.0,2/38,38.42,9.55,24.14,0,0,2019,most_wickets
38,Hardus Viljoen,6,6,23.0,222.0,7.0,2/39,31.71,9.65,19.71,0,0,2019,most_wickets
39,Moeen Ali,11,9,25.0,169.0,6.0,2/18,28.16,6.76,25.0,0,0,2019,most_wickets
40,Siddarth Kaul,7,7,27.0,242.0,6.0,2/34,40.33,8.96,27.0,0,0,2019,most_wickets
41,Dhawal Kulkarni,10,10,35.0,335.0,6.0,1/14,55.83,9.57,35.0,0,0,2019,most_wickets
42,Alzarri Joseph,3,3,8.4,87.0,6.0,6/12,14.5,10.03,8.66,0,1,2019,most_wickets
43,Ben Stokes,9,6,16.5,189.0,6.0,2/39,31.5,11.22,16.83,0,0,2019,most_wickets
44,Murugan Ashwin,10,10,34.0,255.0,5.0,2/25,51.0,7.5,40.8,0,0,2019,most_wickets
45,Oshane Thomas,4,4,10.0,79.0,5.0,2/6,15.8,7.9,12.0,0,0,2019,most_wickets
46,Trent Boult,5,5,19.0,163.0,5.0,2/27,32.6,8.57,22.8,0,0,2019,most_wickets
47,Jason Behrendorff,5,5,19.0,165.0,5.0,2/22,33.0,8.68,22.8,0,0,2019,most_wickets
48,Mitchell Santner,4,4,14.0,94.0,4.0,2/13,23.5,6.71,21.0,0,0,2019,most_wickets
49,Washington Sundar,3,3,9.0,74.0,4.0,3/24,18.5,8.22,13.5,0,0,2019,most_wickets
50,Dale Steyn,2,2,8.0,69.0,4.0,2/29,17.25,8.62,12.0,0,0,2019,most_wickets
51,Kuldeep Yadav,9,9,33.0,286.0,4.0,2/41,71.5,8.66,49.5,0,0,2019,most_wickets
52,Prasidh Krishna,11,11,40.2,377.0,4.0,1/22,94.25,9.34,60.5,0,0,2019,most_wickets
53,Ish Sodhi,2,2,7.1,67.0,4.0,3/26,16.75,9.34,10.75,0,0,2019,most_wickets
54,Varun Aaron,5,5,12.0,116.0,4.0,2/20,29.0,9.66,18.0,0,0,2019,most_wickets
55,Mitchell McClenaghan,5,5,18.0,142.0,3.0,3/40,47.33,7.88,36.0,0,0,2019,most_wickets
56,Nitish Rana,14,6,8.0,72.0,3.0,1/8,24.0,9.0,16.0,0,0,2019,most_wickets
57,Pawan Negi,7,4,11.1,102.0,3.0,2/21,34.0,9.13,22.33,0,0,2019,most_wickets
58,Ankit Rajpoot,4,4,16.0,152.0,3.0,2/33,50.66,9.5,32.0,0,0,2019,most_wickets
59,Mujeeb Ur Rahman,5,5,19.0,191.0,3.0,2/31,63.66,10.05,38.0,0,0,2019,most_wickets
60,Andrew Tye,6,6,22.0,233.0,3.0,1/37,77.66,10.59,44.0,0,0,2019,most_wickets
61,Arshdeep Singh,3,3,10.0,109.0,3.0,2/43,36.33,10.9,20.0,0,0,2019,most_wickets
62,Rahul Tewatia,5,3,6.2,42.0,2.0,1/10,21.0,6.63,19.0,0,0,2019,most_wickets
63,Jagadeesha Suchith,1,1,4.0,28.0,2.0,2/28,14.0,7.0,12.0,0,0,2019,most_wickets
64,Sandeep Warrier,3,3,12.0,85.0,2.0,2/31,42.5,7.08,36.0,0,0,2019,most_wickets
65,Riyan Parag,7,7,14.0,121.0,2.0,1/10,60.5,8.64,42.0,0,0,2019,most_wickets
66,Marcus Stoinis,10,6,16.4,145.0,2.0,1/13,72.5,8.7,50.0,0,0,2019,most_wickets
67,Shakib Al Hasan,3,3,10.5,95.0,2.0,1/26,47.5,8.76,32.5,0,0,2019,most_wickets
68,Scott Kuggeleijn,2,2,8.0,71.0,2.0,2/37,35.5,8.87,24.0,0,0,2019,most_wickets
69,Harshal Patel,2,2,8.0,77.0,2.0,2/40,38.5,9.62,24.0,0,0,2019,most_wickets
70,Shahbaz Nadeem,3,3,9.0,90.0,2.0,1/24,45.0,10.0,27.0,0,0,2019,most_wickets
71,Lockie Ferguson,5,5,17.0,183.0,2.0,1/38,91.5,10.76,51.0,0,0,2019,most_wickets
72,Anukul Roy,1,1,2.0,11.0,1.0,1/11,11.0,5.5,12.0,0,0,2019,most_wickets
73,Stuart Binny,8,5,7.0,44.0,1.0,1/19,44.0,6.28,42.0,0,0,2019,most_wickets
74,Jayant Yadav,2,2,7.0,50.0,1.0,1/25,50.0,7.14,42.0,0,0,2019,most_wickets
75,Krishnappa Gowtham,7,7,20.0,166.0,1.0,1/32,166.0,8.3,120.0,0,0,2019,most_wickets
76,Sherfane Rutherford,7,6,6.5,59.0,1.0,1/6,59.0,8.63,41.0,0,0,2019,most_wickets
77,Vijay Shankar,15,5,8.0,70.0,1.0,1/11,70.0,8.75,48.0,0,0,2019,most_wickets
78,Mohit Sharma,1,1,3.0,27.0,1.0,1/27,27.0,9.0,18.0,0,0,2019,most_wickets
79,Kulwant Khejroliya,2,2,5.0,47.0,1.0,1/29,47.0,9.4,30.0,0,0,2019,most_wickets
80,Mayank Markande,3,3,6.0,59.0,1.0,1/23,59.0,9.83,36.0,0,0,2019,most_wickets
81,Deepak Hooda,11,2,2.0,21.0,1.0,1/13,21.0,10.5,12.0,0,0,2019,most_wickets
82,Abhishek Sharma,3,2,2.0,21.0,1.0,1/10,21.0,10.5,12.0,0,0,2019,most_wickets
83,Prithvi Raj Yarra,2,2,5.0,57.0,1.0,1/29,57.0,11.4,30.0,0,0,2019,most_wickets
84,Karn Sharma,1,1,2.5,33.0,1.0,1/33,33.0,11.64,17.0,0,0,2019,most_wickets
85,Varun Chakaravarthy,1,1,3.0,35.0,1.0,1/35,35.0,11.66,18.0,0,0,2019,most_wickets
86,Tim Southee,3,3,9.0,118.0,1.0,1/24,118.0,13.11,54.0,0,0,2019,most_wickets
87,Ben Cutting,3,1,2.0,27.0,1.0,1/27,27.0,13.5,12.0,0,0,2019,most_wickets
88,Shivam Dube,4,2,1.4,8.0,0.0,0/3,0.0,4.8,0.0,0,0,2019,most_wickets
89,Suresh Raina,17,1,1.0,6.0,0.0,0/6,0.0,6.0,0.0,0,0,2019,most_wickets
90,Yusuf Pathan,10,1,1.0,8.0,0.0,0/8,0.0,8.0,0.0,0,0,2019,most_wickets
91,Hanuma Vihari,2,1,1.0,9.0,0.0,0/9,0.0,9.0,0.0,0,0,2019,most_wickets
92,Basil Thampi,3,3,12.0,110.0,0.0,0/29,0.0,9.16,0.0,0,0,2019,most_wickets
93,Harpreet Brar,2,2,5.0,48.0,0.0,0/24,0.0,9.6,0.0,0,0,2019,most_wickets
94,Carlos Brathwaite,2,2,3.0,29.0,0.0,0/13,0.0,9.66,0.0,0,0,2019,most_wickets
95,Avesh Khan,1,1,3.0,30.0,0.0,0/30,0.0,10.0,0.0,0,0,2019,most_wickets
96,Rasikh Salam,1,1,4.0,42.0,0.0,0/42,0.0,10.5,0.0,0,0,2019,most_wickets
97,Colin de Grandhomme,4,3,5.0,55.0,0.0,0/12,0.0,11.0,0.0,0,0,2019,most_wickets
98,Barinder Sran,2,2,4.0,51.0,0.0,0/24,0.0,12.75,0.0,0,0,2019,most_wickets
99,Liam Livingstone,4,1,1.0,13.0,0.0,0/13,0.0,13.0,0.0,0,0,2019,most_wickets
100,Mandeep Singh,13,2,2.0,26.0,0.0,0/8,0.0,13.0,0.0,0,0,2019,most_wickets
101,Sudhesan Midhun,1,1,2.0,27.0,0.0,0/27,0.0,13.5,0.0,0,0,2019,most_wickets
102,Prayas Ray Barman,1,1,4.0,56.0,0.0,0/56,0.0,14.0,0.0,0,0,2019,most_wickets
103,KC Cariappa,1,1,2.0,34.0,0.0,0/34,0.0,17.0,0.0,0,0,2019,most_wickets
104,Sarfaraz Khan,8,1,0.2,6.0,0.0,0/6,0.0,18.0,0.0,0,0,2019,most_wickets
1,Kagiso Rabada,17,17,65.4,548.0,30.0,4/24,18.26,8.34,13.13,2,0,2020,most_wickets
2,Jasprit Bumrah,15,15,60.0,404.0,27.0,4/14,14.96,6.73,13.33,2,0,2020,most_wickets
3,Trent Boult,15,15,57.2,457.0,25.0,4/18,18.28,7.97,13.76,1,0,2020,most_wickets
4,Anrich Nortje,16,16,61.0,512.0,22.0,3/33,23.27,8.39,16.63,0,0,2020,most_wickets
5,Yuzvendra Chahal,15,15,57.1,405.0,21.0,3/18,19.28,7.08,16.33,0,0,2020,most_wickets
6,Rashid Khan,16,16,64.0,344.0,20.0,3/7,17.2,5.37,19.2,0,0,2020,most_wickets
7,Jofra Archer,14,14,55.4,365.0,20.0,3/19,18.25,6.55,16.7,0,0,2020,most_wickets
8,Mohammad Shami,14,14,53.4,460.0,20.0,3/15,23.0,8.57,16.1,0,0,2020,most_wickets
9,Varun Chakaravarthy,13,13,52.0,356.0,17.0,5/20,20.94,6.84,18.35,0,1,2020,most_wickets
10,T Natarajan,16,16,62.5,504.0,16.0,2/24,31.5,8.02,23.56,0,0,2020,most_wickets
11,Rahul Chahar,15,15,53.0,433.0,15.0,2/18,28.86,8.16,21.2,0,0,2020,most_wickets
12,Sandeep Sharma,13,13,52.0,374.0,14.0,3/34,26.71,7.19,22.28,0,0,2020,most_wickets
13,Jason Holder,7,7,28.0,233.0,14.0,3/25,16.64,8.32,12.0,0,0,2020,most_wickets
