player,opponent,opp_sr,opp_runs,opp_6s
Dwayne Smith,RR,149.9388888888889,529.0,24.0
Dwayne Smith,SRH,158.31666666666666,334.0,22.0
Eklavya Dwivedi,RCB,211.11,19.0,2.0
Eoin Morgan,CSK,145.45,32.0,2.0
Eoin Morgan,DC,244.44,44.0,5.0
Eoin Morgan,KTK,129.41,132.0,4.0
Eoin Morgan,MI,134.48,39.0,2.0
Eoin Morgan,PBKS,164.60285714285715,261.0,12.0
Eoin Morgan,RR,186.765,347.0,27.0
Eoin Morgan,SRH,197.47333333333336,136.0,8.0
Evin Lewis,CSK,234.42,137.0,8.0
Evin Lewis,DC,165.89,144.0,12.0
Evin Lewis,GT,111.11,10.0,0.0
Evin Lewis,KKR,153.57,43.0,2.0
Evin Lewis,PBKS,171.42,36.0,1.0
Evin Lewis,RCB,155.755,246.0,16.0
Evin Lewis,RR,142.85,120.0,8.0
Evin Lewis,SRH,170.58,29.0,2.0
Fabian Allen,LSG,114.28,8.0,0.0
Faf Du Plessis,CSK,172.72,76.0,2.0
Faf Du Plessis,DC,72.72,8.0,0.0
Faf Du Plessis,GT,115.78,44.0,0.0
Faf Du Plessis,KKR,125.0,5.0,0.0
Faf Du Plessis,LSG,150.0,192.0,4.0
Faf Du Plessis,MI,66.66,16.0,0.0
Faf Du Plessis,PBKS,144.58666666666667,186.0,14.0
Faf Du Plessis,RR,114.1575,100.0,2.0
Faf Du Plessis,SRH,121.14,151.0,4.0
Faf du Plessis,DC,124.81666666666666,151.0,3.0
Faf du Plessis,DEC,156.0,39.0,4.0
Faf du Plessis,GL,160.46,138.0,8.0
Faf du Plessis,KKR,157.915,476.0,15.0
Faf du Plessis,MI,144.152,222.0,9.0
Faf du Plessis,PBKS,152.29833333333332,784.0,25.0
Faf du Plessis,PWI,130.3,86.0,4.0
Faf du Plessis,RCB,155.30666666666667,304.0,15.0
Faf du Plessis,RR,172.714,284.0,15.0
Faf du Plessis,SRH,149.11375,339.0,14.0
Faiz Fazal,DEC,124.13,36.0,0.0
Faiz Fazal,KKR,134.78,31.0,0.0
Faiz Fazal,PBKS,118.42,45.0,1.0
Gautam Gambhir,CSK,134.46428571428572,399.0,9.0
Gautam Gambhir,DC,141.09285714285713,347.0,6.0
Gautam Gambhir,DEC,163.42333333333335,187.0,6.0
Gautam Gambhir,GL,158.33,76.0,0.0
Gautam Gambhir,KKR,162.06,47.0,1.0
Gautam Gambhir,MI,131.56333333333336,154.0,2.0
Gautam Gambhir,PBKS,150.379,530.0,4.0
Gautam Gambhir,PWI,135.53,216.0,4.0
Gautam Gambhir,RCB,149.38888888888889,591.0,14.0
Gautam Gambhir,RPS,134.78,62.0,1.0
Gautam Gambhir,RR,147.5325,218.0,3.0
Gautam Gambhir,SRH,145.304,234.0,5.0
George Bailey,CSK,307.69,80.0,4.0
George Bailey,KKR,132.6775,176.0,6.0
George Bailey,MI,170.41333333333333,161.0,8.0
George Bailey,PBKS,125.0,15.0,0.0
George Bailey,SRH,184.21,35.0,3.0
Glenn Maxwell,CSK,231.37666666666667,422.0,24.0
Glenn Maxwell,DC,194.515,176.0,6.0
Glenn Maxwell,GL,177.015,51.0,5.0
Glenn Maxwell,GT,202.775,146.0,8.0
Glenn Maxwell,KKR,172.1788888888889,502.0,30.0
Glenn Maxwell,LSG,169.39333333333335,55.0,3.0
Glenn Maxwell,MI,198.712,432.0,24.0
Glenn Maxwell,PBKS,163.63333333333333,127.0,6.0
Glenn Maxwell,RCB,211.36,68.0,6.0
Glenn Maxwell,RPS,224.285,76.0,6.0
Glenn Maxwell,RR,177.785,299.0,20.0
Glenn Maxwell,SRH,163.24444444444444,469.0,35.0
Graeme Smith,CSK,178.43,182.0,8.0
Graeme Smith,DC,107.345,69.0,0.0
Graeme Smith,DEC,157.77,142.0,4.0
Graeme Smith,MI,118.18,26.0,0.0
